Date,Open,High,Low,Close,Volume,Turn Over,Log_Return,Return_5D,Return_10D,Return_20D,Close_to_SMA20,Close_to_SMA50,EMA20_to_SMA20,Rolling_Vol_20D,Rolling_Vol_30D,ATR_14D_Norm,RSI_14,MACD,MACD_Signal,MACD_Hist,Lag_Log_Return_1D,Lag_Log_Return_5D,Lag_Log_Return_20D,Rolling_Mean_Log_Return_20D,Rolling_Std_Return_20D,Expanding_Mean_Log_Return,Volume_Pct_Change,Volume_Rolling_Avg_20D,Volume_Rolling_Std_20D,Volume_Ratio_20D,Volume_Spike,Cumulative_Return,Running_Max_Close,Drawdown,Rolling_Return_Zscore_60D,Market_Regime_Encoded,Trend_Encoded,Target_Next_1D_Return,Target_Next_1D_Direction
2021-09-12,1937.6,1958.79,1931.74,1956.38,1098565552.5,2149211675599.9504,0.0124210504487316,0.0186295949182548,-0.0339198151175019,-0.0815677916371301,-0.0332196994124589,-0.0351646717129523,-0.0108524605215292,0.0136901675237923,0.0120062626401995,0.0210363017409705,40.5915663894245,-32.521672813254554,-22.30080298784427,-10.220869825410285,-0.0011224245546227,-0.0224932196513333,0.0186745064640551,-0.0042543591975126,0.0136901675237923,-0.00034759398676,0.2417214819193336,2034792914.0875,778675929.0681617,0.5398905927449871,False,-0.0206396643989567,2175.19,-0.1005935113714204,0.9194413916522224,2,0,0.0086874533293119,1.0
2021-09-13,1961.42,1993.64,1958.75,1973.45,1550710838.9,3060250305027.205,0.0086874533293119,-0.0126826095657394,-0.0108912479074569,-0.0673500444242802,-0.0213381946145704,-0.0272206672365634,-0.0086886986878108,0.0139752179790914,0.0121320829697809,0.0210074452644571,43.828506781728585,-30.516788781947294,-23.94400014666488,-6.572788635282421,0.0124210504487316,0.0399093632661775,-0.0066744004970586,-0.0034862665061941,0.0139752179790914,-0.0001994784569884,0.4115778847889917,2010880453.2775,786171709.0240865,0.7711601335487261,False,-0.0120944528711809,2175.19,-0.0927459210459775,0.634132675224696,2,0,-0.0020797410357201,0.0
2021-09-14,1975.84,1986.75,1962.17,1969.35,1036858034.0,2041936369257.9,-0.0020797410357201,0.0018925230078905,-0.0014450867052023,-0.0732906686744153,-0.0195851476372294,-0.0297145276125995,-0.0062492579191551,0.0138601638192915,0.0121219928532504,0.020610861451748,43.21939043243282,-28.92530654907773,-24.940261427147448,-3.985045121930284,0.0086874533293119,-0.016734195864289,0.0043102498669824,-0.0038057660513292,0.0138601638192915,-0.0002298052727744,-0.331365972307579,1950532979.2475,813209414.0292469,0.5315767767228481,False,-0.0141469055521348,2175.19,-0.0946308138599387,-0.1420656759138018,2,0,-0.0105461871175193,0.0
2021-09-15,1970.1,1973.67,1945.71,1948.69,784650051.5,1529039708857.5352,-0.0105461871175193,0.0073873035566582,-0.0160814727296595,-0.0798778011766594,-0.0257680109107343,-0.0401360829706549,-0.0043060760968603,0.0139410660827362,0.0122187625595277,0.0205727950571922,40.18845920842689,-28.996876804816797,-25.75158450268132,-3.245292302135475,-0.0020797410357201,-0.0160156037452326,-0.0034127151925992,-0.0041624396475752,0.0139410660827362,-0.0003935573655481,-0.2432425406658902,1773929332.0925002,636666165.4745096,0.442323173367024,False,-0.024489264671282,2175.19,-0.104128834722484,-0.7415844332168464,2,0,-0.021337655795844,0.0
2021-09-16,1950.54,1950.96,1899.2,1907.55,1622366691.93,3094745583191.072,-0.021337655795844,-0.0127728065499449,-0.0288857551583523,-0.0946692485121166,-0.0415566621119819,-0.0603179751360987,-0.0033393693490694,0.0144616191470451,0.0126771991715372,0.0219556124722437,34.93466895830758,-32.004324990312625,-27.00213260020758,-5.002192390105044,-0.0105461871175193,-0.0011224245546227,-0.0051315179541163,-0.0049727465396616,0.0144616191470451,-0.0007208089035215,1.0676308996966912,1702159049.674,560696522.3973621,0.9531228543188828,False,-0.0450838752309008,2175.19,-0.1230421250557423,-1.5021648650320014,2,0,-0.0273421839298127,0.0
2021-09-20,1911.82,1915.33,1855.46,1856.1,1609465206.0,2987328368856.6,-0.0273421839298127,-0.0512579355748884,-0.0335832552327397,-0.1092886210073711,-0.0620411684134114,-0.0851800348539457,-0.0037411403515031,0.0152586259838533,0.0133922066455212,0.0230152316300692,29.70466714368453,-38.10013966566908,-29.221734013299884,-8.878405652369192,-0.021337655795844,0.0124210504487316,-0.0110622814340878,-0.0057867416644479,0.0152586259838533,-0.0011303685193106,-0.0079522625767496,1647109356.1265,508068843.3873496,0.977145324330482,False,-0.070839653385796,2175.19,-0.1466952312211807,-1.8833127279796336,2,0,0.0020075734756938,1.0
2021-09-21,1849.14,1889.82,1811.16,1859.83,1475266461.8,2743744823649.4937,0.0020075734756938,-0.0575742988167929,-0.0695267160296178,-0.1148640287838261,-0.0543897612573495,-0.0828578552218957,-0.0030343397899939,0.0150164901631462,0.0133908296574422,0.024844820686376,30.516811226799888,-42.14432336099753,-31.80625188283942,-10.338071478158112,-0.0273421839298127,0.0086874533293119,0.00828674617004,-0.0061007002991652,0.0150164901631462,-0.0010828239436287,-0.0833809539340858,1586805221.8215,446724411.9232637,0.9297086003451236,False,-0.0689724220443429,2175.19,-0.1449804384904307,0.1972263267130574,2,0,0.0322358553530676,1.0
2021-09-23,1942.11,1997.61,1942.11,1968.12,2959227961.1,5824115734800.132,0.0243578313292036,0.0099708008970127,0.0174317617866004,-0.0454452862034514,0.0071872862640157,-0.0299522428472952,0.0020475120357239,0.0183163030674236,0.0157449123069103,0.0261649260643224,49.40684231562127,-34.03660471070202,-33.55885068162214,-0.4777540290798825,0.0322358553530676,-0.0105461871175193,-0.0095621527680212,-0.0023255157757063,0.0183163030674236,-0.0002187160823121,1.4694453584877087,1580439767.5915,523207614.8589678,1.8724079346659912,False,-0.0147626413564209,2175.19,-0.095196281704127,1.6120362466340248,2,0,-0.0093417117581503,0.0
2021-09-26,1992.72,2008.51,1946.66,1949.82,1916476548.1,3736784303016.342,-0.0093417117581503,0.022159314303688,0.0091034711188626,-0.0406034423374042,-6.641197631015945e-05,-0.0387563849722949,0.0037645387371827,0.018175136171201,0.0157864141304295,0.0261071717975432,46.9848498433825,-30.458271969931275,-32.93873493928397,2.4804629693526934,0.0243578313292036,-0.021337655795844,-0.0144012493410303,-0.0020725388965623,0.018175136171201,-0.0003509334109474,-0.3523727900341918,1589798939.1065,527665637.3938583,1.2054835998174078,False,-0.0239235886884827,2175.19,-0.1036093398737582,-0.6432670379433288,2,0,-0.0228666760282259,0.0
2021-09-27,1951.41,1952.36,1896.67,1905.74,1099440271.5,2095247303008.41,-0.0228666760282259,0.0267442486934972,-0.0258845418579213,-0.0589263581012013,-0.0196724971360344,-0.0600777115007635,0.0043198018397748,0.0187615184779712,0.0157025307973153,0.0255431336008959,41.684165076571695,-30.82398538419966,-32.5157850282671,1.6917996440674443,-0.0093417117581503,-0.0273421839298127,-0.003583570691696,-0.0030366941633888,0.0187615184779712,-0.0006725868769085,-0.4263220843531907,1550572038.4765,533771319.7543825,0.7090546225638408,False,-0.0459899579998097,2175.19,-0.1238742362736129,-1.509291035498099,2,0,-0.0190870459680927,0.0
