Date,Open,High,Low,Close,Volume,Turn Over,Log_Return,Return_5D,Return_10D,Return_20D,Close_to_SMA20,Close_to_SMA50,EMA20_to_SMA20,Rolling_Vol_20D,Rolling_Vol_30D,ATR_14D_Norm,RSI_14,MACD,MACD_Signal,MACD_Hist,Lag_Log_Return_1D,Lag_Log_Return_5D,Lag_Log_Return_20D,Rolling_Mean_Log_Return_20D,Rolling_Std_Return_20D,Expanding_Mean_Log_Return,Volume_Pct_Change,Volume_Rolling_Avg_20D,Volume_Rolling_Std_20D,Volume_Ratio_20D,Volume_Spike,Cumulative_Return,Running_Max_Close,Drawdown,Rolling_Return_Zscore_60D,Market_Regime_Encoded,Trend_Encoded,Target_Next_1D_Return,Target_Next_1D_Direction
2021-09-12,6685.27,6964.08,6595.85,6964.08,256027058.8,1782992919647.904,0.0466751091652185,0.0592900526140465,-0.023030898186792,0.0360254213081976,-0.0027375713444716,0.0536204973975692,-0.0171907416262289,0.025179572034366,0.020775943738,0.0331082600183472,53.992648597736846,26.487134480077657,79.45846624604276,-52.971331765965104,-0.0027195365004319,-0.0268558022791127,0.0076130484790882,0.0017695840739258,0.025179572034366,0.0014686581994611,0.8078966722596537,410819243.15,213155138.0525603,0.6232109694689214,False,0.0921186136337617,7474.66,-0.0683081237139883,2.3358022847255926,2,0,-0.0135606471728985,0.0
2021-09-13,7009.42,7042.44,6815.17,6870.28,236886060.8,1627473565793.024,-0.0135606471728985,-0.0146463197751133,-0.0295954269959223,0.0218901669019249,-0.0172054280950919,0.036406527061508,-0.0181281517660238,0.0254116111653344,0.0209151949116729,0.0329324277904248,51.12083761102673,25.13158993657089,68.59309098414839,-43.4615010475775,0.0466751091652185,0.0587929109163968,0.0001770170840982,0.0010827008610759,0.0254116111653344,0.0012222761441765,-0.0747616212509487,416766005.66,206096642.9074901,0.568391033776524,False,0.077408741553193,7474.66,-0.0808571894908932,-0.7530904971115456,2,0,-0.0098573404226953,0.0
2021-09-14,6852.78,6902.49,6775.42,6802.89,135578993.0,922328975689.77,-0.0098573404226953,-0.0073164716920836,-0.0113630418480819,-0.0026945128986244,-0.0267176268751601,0.0236427222986786,-0.01882939508012,0.0253183911185343,0.0209412393926971,0.0321982905164464,49.10022971497916,18.40731327215326,58.55593544174937,-40.14862216959611,-0.0135606471728985,-0.0172686081196414,0.0144948264316163,-0.0001349074816396,0.0253183911185343,0.0010435726511624,-0.4276615832010999,406912003.94,214855009.05882457,0.3331899567651766,False,0.0668405296181235,7474.66,-0.0898729841892473,-0.5948727806686381,2,0,-0.0109061167501946,0.0
2021-09-15,6856.39,6856.4,6709.17,6729.1,168723537.0,1135357552826.7,-0.0109061167501946,0.0096780001800558,-0.0217411846801333,-0.034419720561288,-0.0356199077539508,0.0102137108448922,-0.0189026268160263,0.0248981840583,0.0210258348713364,0.0321954538603124,46.91362724261129,7.042853625989665,48.25331907859743,-41.21046545260776,-0.0098573404226953,-0.0278809534129831,0.0214217661408789,-0.0017513016261932,0.0248981840583,0.0008538950416171,0.2444666630618801,364342860.77,165684316.5662384,0.4630900044079928,False,0.0552686590336335,7474.66,-0.0997450051239788,-0.6401506768103143,2,0,-0.020411690596433,0.0
2021-09-16,6650.92,6729.1,6567.93,6593.14,285797337.6,1884301858424.064,-0.020411690596433,-0.0080282855638305,-0.0237071390917543,-0.0751701143072759,-0.0514625660449943,-0.012135625429681,-0.0185817763112263,0.0245329776054153,0.0213316843428988,0.0328503782502939,43.10464689786039,-12.786997705061369,36.04525572186567,-48.83225342692704,-0.0109061167501946,-0.0027195365004319,0.0227077426216626,-0.003907273287098,0.0245329776054153,0.0005216202660225,0.6938794828607702,351684809.06000006,161253128.80201226,0.8126519264903502,False,0.0339471856000075,7474.66,-0.1179344612330192,-1.147999668039042,2,0,-0.0140460156614963,0.0
2021-09-20,6607.44,6607.45,6455.15,6501.18,304249241.1,1977979081254.4983,-0.0140460156614963,-0.0664696557190611,-0.0111205924898353,-0.0994023887825298,-0.0598398069810996,-0.0268757763560501,-0.017904026578168,0.0243155222061393,0.0214276352542967,0.0330608113779783,40.69777552805777,-35.5133256971385,21.73353943806484,-57.246865135203336,-0.020411690596433,0.0466751091652185,0.0125052421492471,-0.0052348361776352,0.0243155222061393,0.0002975027902145,0.0645628950043795,340536526.49,156104300.19538924,0.8934408424141086,False,0.0195258653811472,7474.66,-0.1302373619669656,-0.8379280210585538,2,0,-0.0001938297534739,0.0
2021-09-21,6501.18,6587.15,6378.48,6499.92,252227916.1,1639461276416.712,-0.0001938297534739,-0.0539075554416995,-0.0677643279215191,-0.1304059315072524,-0.0533499916657364,-0.0278366110050907,-0.0149727510152243,0.0224685139191986,0.0214081447045585,0.0329149106010974,40.66427142078688,-53.01465588241626,6.783900373968617,-59.79855625638488,-0.0140460156614963,-0.0135606471728985,0.0348382108527234,-0.0069864382079451,0.0224685139191986,0.0002900583577344,-0.1709825957557664,319415687.20500004,135772805.40596813,0.7896541284715327,False,0.0193282700845425,7474.66,-0.1304059315072524,-0.0719444547692019,2,0,0.0276618950407241,1.0
2021-09-22,6547.49,6727.37,6499.92,6682.23,206218812.3,1378001534115.429,0.0276618950407241,-0.0177365796007286,-0.024923282110249,-0.1049977498473111,-0.021210812245488,-0.0023025086077188,-0.0104500622029588,0.0237494351645773,0.0219836069897267,0.0329633328138318,47.41036228882852,-51.57912077535457,-4.888703855896019,-46.69041691945855,-0.0001938297534739,-0.0098573404226953,-0.0011378225448184,-0.0055464523286679,0.0237494351645773,0.0006985932335999,-0.1824108310903972,304279697.65500003,130295912.65518056,0.6777278073077885,False,0.0479184276432682,7474.66,-0.1060155244519483,1.394115231065684,2,0,-0.0121048808475935,0.0
2021-09-23,6731.23,6756.99,6574.53,6601.83,186003598.8,1227964138665.804,-0.0121048808475935,-0.0189133762315911,-0.0094184197101101,-0.0969448263126577,-0.0279420124945503,-0.0157071069685257,-0.007444589174511,0.0235248328105532,0.022089309283052,0.0330211471667704,44.981514909212784,-56.280292748167085,-15.167021634350233,-41.11327111381685,0.0276618950407241,-0.0109061167501946,-0.0210623004181967,-0.0050985813501378,0.0235248328105532,0.000510306850053,-0.0980279794774087,294096474.55,131226516.60890876,0.6324577643598278,False,0.0353099658599236,7474.66,-0.1167718665464382,-0.7500085853871797,2,0,-0.0178427294739865,0.0
2021-09-26,6624.72,6638.9,6484.18,6485.08,120851247.9,783730010731.332,-0.0178427294739865,-0.0163897626927382,-0.0242864665613481,-0.0936954966235857,-0.0403959468363718,-0.0338723310735809,-0.006128346928749,0.0234069782391742,0.022271225532486,0.032394247366923,41.645126088894486,-68.63556659868209,-25.860730627216604,-42.774835971465485,-0.0121048808475935,-0.020411690596433,-0.0214344235117864,-0.0049189966482478,0.0234069782391742,0.0002443208163712,-0.3502746792015295,277441079.575,131007706.74712124,0.4355924799785483,False,0.0170010365911987,7474.66,-0.1323913060928523,-1.0297758308479714,2,0,-0.0160602324699677,0.0
2021-09-27,6480.43,6485.86,6363.8,6381.76,163195886.5,1041476980630.24,-0.0160602324699677,-0.018368973017206,-0.0836176494239009,-0.1047227580401921,-0.0504399468839398,-0.0500529575946566,-0.0053545908459417,0.0235363866293647,0.0223767996626286,0.0292560359524644,38.89561536432731,-85.77550404169233,-37.84368531011175,-47.93181873158058,-0.0178427294739865,-0.0140460156614963,-0.0038183243124377,-0.0055310920561243,0.0235363866293647,1.1398626566443437e-05,0.3503864406517227,269915985.105,133120886.98708697,0.604617345788228,False,0.0007982222696172,7474.66,-0.1462140083963684,-0.915661315718564,2,0,-0.0140791166016528,0.0
2021-09-28,6356.0,6420.85,6282.87,6292.54,233325838.8,1468212173682.552,-0.0140791166016528,-0.0319050080616376,-0.0840926425123866,-0.1111993118459394,-0.0581991085389255,-0.0638470549001526,-0.0050855279910805,0.0236131581725761,0.0224859915748331,0.0285065444841941,36.64564834960899,-105.34399629428844,-51.343747506947096,-54.00024878734135,-0.0160602324699677,-0.0001938297534739,-0.0068186913178659,-0.0058941133203136,0.0236131581725761,-0.0001870593343943,0.4297286764026371,255163773.37000003,118519376.2682737,0.9144160070938676,False,-0.0131934065899599,7474.66,-0.1581503372728659,-0.7998178994086802,2,0,0.0160687495673804,1.0
2021-09-29,6292.53,6395.9,6287.44,6394.47,214347937.5,1370641455905.625,0.0160687495673804,-0.043063468333176,-0.0600362492999299,-0.0707170967348148,-0.0394454128815562,-0.0495338688292616,-0.0050679533839239,0.0234716884840927,0.0225280986414618,0.0270025729821459,40.85502552474087,-111.34376661989154,-63.34375132953599,-48.00001529035555,-0.0140791166016528,0.0276618950407241,-0.0284714548174618,-0.0036671031010715,0.0234716884840927,3.871578924136998e-05,-0.081336475195391,234383434.275,79290019.89466558,0.9145182899253343,False,0.0027914256187007,7474.66,-0.1445135966050629,0.7845778024337284,2,0,-0.0162912599945012,0.0
2021-09-30,6397.68,6430.62,6291.14,6291.14,120303113.9,756843731980.8461,-0.0162912599945012,-0.0470611936387334,-0.0650844838091275,-0.0854106547069555,-0.0507786655521496,-0.0654580728156997,-0.0054315544673684,0.0236233263168439,0.0222172639735159,0.0279820963631846,38.09200380671273,-123.01841554599196,-75.27868417282718,-47.73973137316477,0.0160687495673804,-0.0121048808475935,-0.0003532046087042,-0.0044640058703614,0.0236233263168439,-0.000184982509166,-0.4387484418878534,224351678.795,80446485.46243614,0.5362256014581743,False,-0.0134129569195206,7474.66,-0.1583376367620734,-0.8983280226199583,2,0,-0.01722711369145,0.0
2021-10-03,6283.62,6349.3,6160.2,6183.69,155804817.2,963448690071.468,-0.01722711369145,-0.0464743688589809,-0.0621024276748257,-0.0843372958757574,-0.0629647575106556,-0.0812504178707535,-0.0070278028105298,0.02358833896569,0.0217906553752249,0.0263991703520528,35.41017208444869,-139.334810966202,-88.08990953150214,-51.24490143469984,-0.0162912599945012,-0.0178427294739865,-0.018400022039885,-0.0044053604529396,0.02358833896569,-0.0004152815791969,0.2951021145596464,217436919.57,80078471.12793751,0.7165518050389844,False,-0.0302634447133065,7474.66,-0.1727128725587518,-0.9293770135778194,2,0,-0.005259867464445,0.0
2021-10-04,6134.89,6255.54,6099.09,6151.25,128269068.5,789015107610.625,-0.005259867464445,-0.0361201298701299,-0.0538256131963735,-0.0643476329763366,-0.0648832318304397,-0.0856977488061489,-0.0096489916272126,0.0229933326629835,0.0215458036905793,0.0257160275205387,34.61775164072834,-153.11825682572544,-101.0955789903468,-52.02267783537863,-0.01722711369145,-0.0160602324699677,-0.0268558022791127,-0.0033255637122062,0.0229933326629835,-0.0004798760576669,-0.1767323321245807,202640305.5,65958220.2217483,0.6329889218411191,False,-0.0353507394925565,7474.66,-0.1770528692943893,-0.2794453967349329,2,0,0.0173651147445135,1.0
